SOURCE_FILE,OACI,CIAD,NAME,MUNICIPIO,UF,ALT_M,OPERAÇÃO,OP_DIURNA,OP_NOTURNA,LAT_DD,LON_DD,N_RWYS,RUNWAY1_D_NM,RUNWAY2_D_NM,RUNWAY3_D_NM,RUNWAY1_LEN_M,RUNWAY2_LEN_M,RUNWAY3_LEN_M,RUNWAY1_WID_M,RUNWAY2_WID_M,RUNWAY3_WID_M,DATASET_TYPE
2025_08_22_BR_aerodromes_public,SSIJ,RS0032,IJUÍ,IJUÍ,RS,365.0,VFR Diurno/Noturno,,,-28.36861111111111,-53.84638888888889,1,180.0,,,1280.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSFL,PI0006,JOÃO PEREIRA DOS SANTOS FILHO,FRONTEIRAS,PI,448.0,VFR Diurno/Noturno,,,-7.1,-40.62833333333333,1,110.0,,,1900.0,,,25.0,,,heliport
2025_08_22_BR_aerodromes_public,SSIR,RS0049,IBIRUBÁ,IBIRUBÁ,RS,457.0,VFR Diurno,,,-28.604166666666668,-53.078611111111115,1,110.0,,,900.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSJA,SC0014,SANTA TEREZINHA,JOAÇABA,SC,782.0,VFR Diurno/Noturno,,,-27.17138888888889,-51.55333333333333,1,150.0,,,1215.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSJI,MS0019,JARDIM,JARDIM,MS,321.0,VFR Diurno,,,-21.49277777777778,-56.152499999999996,1,180.0,,,950.0,,,15.0,,,heliport
2025_08_22_BR_aerodromes_public,SSIQ,RS0045,ITAQUI,ITAQUI,RS,84.0,VFR Diurno,,,-29.171944444444446,-56.538333333333334,1,150.0,,,966.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKG,MS0003,ESTÂNCIA SANTA MARIA,CAMPO GRANDE,MS,618.0,VFR Diurno/Noturno,,,-20.505555555555556,-54.52472222222222,1,60.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKK,RS0052,CAPÃO DA CANOA,CAPÃO DA CANOA,RS,10.0,VFR Diurno,,,-29.76361111111111,-50.036944444444444,1,80.0,,,700.0,,,27.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKM,PR0017,CAMPO MOURÃO,CAMPO MOURÃO,PR,574.0,VFR Diurno/Noturno,,,-24.0025,-52.356944444444444,1,20.0,,,1370.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKS,RS0039,BRIGADEIRO NERO MOURA,CACHOEIRA DO SUL,RS,77.0,VFR Diurno,,,-30.002222222222223,-52.94027777777777,1,120.0,,,1020.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKU,SC0016,LAURO ANTÔNIO DA COSTA,CURITIBANOS,SC,978.0,VFR Diurno/Noturno,,,-27.287222222222223,-50.60388888888889,1,110.0,,,1400.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKW,RO0004,CACOAL,CACOAL,RO,249.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-11.495555555555555,-61.450833333333335,1,170.0,,,2100.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SSKZ,RS0009,CARAZINHO,CARAZINHO,RS,590.0,VFR Diurno/Noturno,,,-28.321666666666665,-52.81666666666667,1,110.0,,,1560.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSLG,RS0021,SÃO LUIZ GONZAGA,SÃO LUIZ GONZAGA,RS,200.0,VFR Diurno,,,-28.37638888888889,-55.0375,1,60.0,,,1200.0,,,60.0,,,heliport
2025_08_22_BR_aerodromes_public,SSLN,SC0018,HELMUTH BAUNGARTEM,LONTRAS,SC,334.0,VFR Diurno/Noturno,,,-27.15972222222222,-49.54277777777778,1,70.0,,,1077.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSJK,RS0028,JÚLIO DE CASTILHOS,JÚLIO DE CASTILHOS,RS,498.0,VFR Diurno,,,-29.153055555555554,-53.74333333333333,1,120.0,,,1190.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSLT,RS0022,GAUDÊNCIO MACHADO RAMOS,ALEGRETE,RS,125.0,VFR Diurno,,,-29.8125,-55.89333333333333,1,150.0,,,1200.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSMJ,MS0020,MARACAJU,MARACAJU,MS,390.0,VFR Diurno,,,-21.633888888888887,-55.144999999999996,1,10.0,,,800.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSMR,PR0026,MANOEL RIBAS,MANOEL RIBAS,PR,886.0,VFR Diurno,,,-24.529444444444444,-51.651666666666664,1,170.0,,,1200.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSLO,PR0031,ATTILLIO ACCORSI,LOANDA,PR,470.0,VFR Diurno,,,-22.91777777777778,-53.14972222222222,1,50.0,,,1100.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSNB,MS0015,ARIOSTO DA RIVA,NAVIRAÍ,MS,406.0,VFR Diurno,,,-23.034166666666668,-54.17777777777778,1,100.0,,,1398.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSNG,RS0046,HELIO ALVES DE OLIVEIRA,MONTENEGRO,RS,24.0,VFR Diurno,,,-29.71972222222222,-51.48888888888889,1,130.0,,,932.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSNH,RS0023,NOVO HAMBURGO,NOVO HAMBURGO,RS,15.0,VFR Diurno,,,-29.699166666666667,-51.081944444444446,1,20.0,,,870.0,,,30.0,,,heliport
